Id,EssaySet,Score1,Score2,EssayText
4983,3,1,1,"Pandas in China and koala's in Australia are similar because they both eat leaves and bamboo and would only survive in the jungle. In the article it says that pandas eat ''almost nothing but bamboo,'' and Australia's koala bear ''eats eucalyptus leaves.'' They differ from pythons because they're able to live anywhere."
4984,3,2,2,"Pandas in China are similar to koalas in Australia because they are both specialist. ""A specialist is China's panda, which eats almost nothing but bamboo, or Australia's koala bear, which eats eucalyptus leaves almost exclusively"". They both rely on specific food sources that are found only in certain areas. This differs from the pythons who can thrive in many different environments and have a more varied diet."
4985,3,0,0,"Just like phythons, koalas and pandas need their space. They live in a certain enviroment, that they can adapt to. Every animal must adapt to its place at where it lives. They can't just get up and move its not that easy."
4986,3,1,1,"Panda's and koala's are similar in the way that they only like to eat one specific food, and nothing else. They are different from the python because they are not invasive to where they live. their population is extremely low and they are not being damaging to their home environment."
4987,3,0,1,China pandas and Australia koalas are similar because there both plant eaters and there both a specialist. There both different than pythons because a python is a generalist.
4988,3,1,2,"Panda  and koalas are similar because they're both specialists and they both eat pretty much only one type of plant. They are both different from pythons because pythons are generalists, so they will eat almost anything; also pythons are invasive and pandas are koalas are not."
4989,3,0,1,Pandas in China are similar to koalas in Australia by both of them being a specialist. Also they both only eat one type of food. Pandas eat bamboo while koalas eat eucalyptus leaves as stated on paragraph 21. They also differ from pythons because pythons are generalist which is said on paragraph 20.
4991,3,2,2,Pandas in China and koalas in Australia are similar because they can only survive in very special climates with specific food sources. These are different from pythons because pythons can adapt better and eat many different things. This is shown in the map provided with the article because it shows pythons could survive in 17 states.
4992,3,1,1,The pandas and koalas are alike because they both only eat one thing. As with the pythons they eat a few different things. They are different types of animals so they need different things.
4993,3,0,0,"Pandas in China are similar to koalas in Aus because they are both anunaunt  and specialists that eat bamboo &,eucalyptus leaves so they can't be harmful to humans. They live in a certain place, unlike pythons which are generalists so they can rang from Florida to Antartica to outer space."
4994,3,1,1,"Pandas in China are similar to koalas in Australia by which they both are ""specialist."" Pandas eats almost nothing but bamboo and koalas eats eucalyptus leaves almost exclusively. Verse pythons are ""generalist"" that could eat anything."
4995,3,1,1,"Pandas and koala's are similar in they're eating habits: ""China's panda which eats almost nothing but bamboo or Australia's koala bear which eat leaves almost exclusively. They differ from pythons because the article explains how pythons eat all of the habitats native animals causing potential extinction where as these 2 bears do not."
4996,3,0,0,Pandas in China are similar to koalas in Australia because they don't eat everything. They are both different from pythons because pythons will eat anything.
4997,3,0,0,"China's panda and Australia's koala bear have a lot incomon, they both live in the cold and they are both bears. They are different from a python because a python eats almost anything and a koala bear in panda donot."
4998,3,2,2,"Pandas in China, and koalas in Australia are similar because they both are specialists. So they have to stay in specific habitats to survive. Pythons are generalists, they can move anywhere and adapt to their surroundings to survive. In the article it says that the pandas mostly eat bamboo and koalas mostly eat eucalyptus leaves."
4999,3,2,1,Pandas and Koalas are both alike because they are specialists. They both consume a primary food. For example pandas' diets are mainly made up of bamboo; Koalas diets mainly consist of eucalyptus leaves. They differ from pythons because they can only live in places where their primary food source is present.
5001,3,1,1,"Panda's are similar to koala bears because they both eat only one thing and those things which are bamboo, and eucalyptus leaves. These two bears on aren't harming anything by eating the foods. But pythons eat almost anything that moves and they are harming the enviornnent."
5002,3,2,2,The pandas in China and koalas in Australia are similar because both species live in only one area around the world. Also both just eat one type off food like bamboo and eucalyptus leaves. But both pandas and koalas are different than the python because a python can eat many foods and live in different areas around the world.
5003,3,1,1,The pandas in China are similar to koala bear in Australia because they only eat plants. There different because the one in China eat only bamboo and the one from Australia eats eucalyptus leaves almost exclusively.
5005,3,2,1,Pandas are similar to koalas because they are both specialists. For example bamboo is to pandas as eucalyptus leaves is to koalas. These two species are different from snakes since a snake is a generalist species. Snakes are generalists because they can adapt to many different locations where as pandas are stuck on China and koalas are in Australia.
5006,3,1,1,Pandas in China are similar to koalas in Australia because they are both specialists. A specialist like the panda and koala both eat specific things and might not be able to adapt to a new place like a python. Pandas and koalas are different from pythons because pythons can live anywhere from Florida to Antarctica to outer space. Where as pandas and koalas can not.
5008,3,0,0,"Pandas in China are similar to koalas in Australia because they are two animals that are specialist and are found to be harmless, because it says in the article they only eat plants. They are both different from pythons because they are not seen no a threat. Where as pythons are a threat even to other animals like in the article a python ate an alligator."
5009,3,1,1,Panda from china and koalas from Australia are in the very similar.They are both specialists.They live eating special plants like bamboo and eucalyptus leaves while pythons are very different.They can eat almost anything and kill only animals as a source of food.They are also eaten made pets so they have a better chance of survival.
5010,3,1,1,"The China panda bear and the Australian Koala bear are both specialists. "" what  favors specialists is stability"" ( Achen bach). The panda bear and the  Koala bear are different from the pythons because the pythons is a generalists "" what favors generalists is change, "" ( Achanbach)"
5011,3,0,1,"China's pandas and Australia's koala both have specific food sources from specific places,pythons can live anywhere from Florida to Australia with the assistance of technology."
5013,3,1,1,Pandas and koalas both have to stay in certain area of the world. For them to survive they need to eat food exclusive to their homeland. Pythons on the other hand can live in a variety of climates. The article states that they can be found in Asia and America.
5014,3,0,0,Pandas in China are similar to koalas in Australia because they both are under the category of a harmless animals and eat nothing but plants mainly. They both differ from python because pythons are dangerous reptiles that can kill someone or an animal and panda and koalas are harmless.
5015,3,2,1,"Both pandas in China and Koalas in Australia are similar because they they are specialist. This means that they would not be able to survive anywhere else because the certain food sources they need are only incaled in China and Australia. A python , a generalist is different because it can live anywhere on earth, as long as it has a climate that is suitable."
5016,3,1,1,"Pandas are specialist, meaning they dine on bamboo. Koala's do much of the same thing. They eat only eucalyptus leaves. Both these animals are different from pythons. In the article the author talks about them being generalists, this means the python can live almost anywhere in the world. Pandas and koala's, however, can not."
5017,3,0,0,Pandas and koalas are both mamals and humb . They are diferent fromoe pythons is that they of warm and fluffy and furry and snake are scale and unapealing to the eye.
5020,3,1,1,"Pandas in China are similar to koalas in Australia are both specialists. They eat almost nothing but one thing. They are different from pythons by how because pythons eat a lot more than just one thing, they eat a variety of things."
5021,3,1,1,Panda's in china are similar to koalas in Australia they only eat one type of food and don't cause a threat. unlike the phythons who eat many things and people are scared of them.
5022,3,0,1,"Pandas in China are similar to koalas in Australia because they are both from the same specie. They are different because China's panda, eats almost nothing but bamboo, or Australia's koala bear, eats eucalyptus leaves almost exclusively. Pythons are generalist a raccon, a cockroach."
5023,3,1,1,Pandas and koalas are similar because they are both specialists. The panda eats almost nothing but bamboo: Australia's koala bear eats eucalyptus leaves almost exclusively. A panda and koala differ from pythons because a python is a generalist with the assistance of technology it can live anywhere.
5024,3,1,1,"Panda's and koalas are the same because they both eat the same thing everyday all day. Panda's eat bambo and koala eat eucalyptus leaves. As the article states a generalist is like a raccon they can live anywhere from Florida to Antarctica, pandas and koalas can't because they rely on a surtan food sorse to live."
5026,3,1,1,Pandas almost eats nothing except bamboo and koalas eats eucalyptus leaves almost exclusively. Pythons could snack their way right up the polomac . Also looking at the reptile habitat map makes it obvious that pythons eat more than one thing.
5027,3,0,0,Pandas and koalas are similar because they are both wild animals that are starting to become more popular living with people. They are different than pythons because they are more cuddly and aren't able to live in as much climate as snakes.
5029,3,0,0,The connection between the pandas and the koala bear from the passage was used as an example. That both animals have the same eating habits of how often they eat something. The panda eats mostly bamboo while the koala bear rarely eats eucalyptus leaves. That how pythons would react.
5030,3,1,1,"Pandas are similar to koala bears because they both eat a very limited amount of food. Paragraph 21 states that pandas eat almost only bamboo and koalas eat eucalyptus leaves. Koalas and pandas bot are different from pythons because koalas and panda eat vegitables, while the python eats small animals like mice."
5031,3,1,1,"As the author said towards the end of the article both of these are specialist animals who need to remain in one area to eat the food they are accustomed to. This would not allow these species to be invasive. This is much different to the pythons because that species can adapt any change to the environment around them, unlike the specialists which do very little change."
5033,3,1,1,Pandas and koalas are specilist species because they rely on stability to live while the pythons is a generalist species that can survive in multiple places.
5036,3,0,0,Pandas in China are similar to koalas in Australia is because both animals hardly ever eat anything.
5037,3,1,1,"China's panda is like Australia's koala bear, because they both eat mostly one thing, bamboo and eucalyptus leaves. Also both of these things are vegetarine leafs and trees. Unlike a python which pretty much eats anything it can fit into its mouth even a alligator."
5038,3,0,0,Pandas & koala bears both eat plants while the snakes eat animals.
5039,3,1,1,"Pandas in China are similar to koalas in Australia because they are both A specialist, in the article it says that a panda would eat nothing but bamboo, and koala would ecalyptus leaves. They are different from pythons because pythons are A generalist, the article say that can live anywhere, and this species have become most abundant."
5040,3,1,2,"Pandas in China are similar to koalas in Australia, because they are animals that only eat bamboo and eucalyptus. They don't eat meat. As stated in the article, ""China's pand which eats almost nothing but bamboo or Australia's koala bear which eats eucalyptus leaves."" These animals are harmless to our envinroment. They both differ from a python because the python eats animals. In the article it states, ""A python swallowed an alligator."" Pandas and koalas don't do this."
5041,3,1,1,Pandas in China are similar to koalas in Australia because they both only really eat one kind of food. They differ from the pythons because according to the article pythons eat living things and have been ''imperiling five endangered species.''
5042,3,0,1,"Pandas in china eat only bamboo,while koalas in Australia eat only eucalyptus leaves.Both animals have an exclusive food.Pythons as said in the article are generalists.Pandas and koalas are generalists.Pandas and koalas are generalists as well."
5044,3,2,1,"Koalas and pandas are both similar in each other because they both require exclusive and specific habitats to survive. For instance, the Australian koala's diet consist strictly of eucalyptus leaves, as well as the Chinese panda bear which survives off bamboo. These two in comparen to the pythons which can survive in any environment that is warm."
5045,3,2,2,"Pandas in China are similar to koalas in Australia because they are specialists, meaning they require one certain food and environment to survive. Pythons are generalists, who aren't very specific in what they eat. This means that they can adapt very easily to new environments, whereas, specialists cannot."
5046,3,1,1,Pandas in China are similar to koalas in Australia because China's panda eats nothing but bamboo and Australia koala bear eats eucalyptus leaves. And there both different from pythons because in the article is stated that python swallowed and alligator.
5047,3,1,1,"Pandas in China are similar to koalas i Australia because, they both eat leaves. In the article says that ""China's panda which eats nothing but bamboo"" or ""Australia's koala bear which eats eucalyptus leaves leaves almost exclusively"" Pythons are very different from pandas and koalas because pythons eat animals and pandas and koalas eat leaves for example the python ""swallow a alligator."""
5049,3,2,1,"Pandas in China are similar to koalas in Australia because they are both specialists and depend on certain foods that they can't survive without. They are both different from pythons because a python is a generalist and can live anywhere and change can benefit it, but specialists need stability."
5050,3,2,2,"Pandas in China and koalas in Australia are similar in that their food sources (bamboo and eucalyptus leaves respectively) exists only in certain areas of the world and so those animals exist only where those food sources are. They are specialists, and are favored by stability. They are different from a python in the the python can eat a variety of food sources around the world so it can exist in many different places."
5051,3,2,2,"Pandas in China can basically only live in China because they only really eat bamboo and can only survive in China. Koalas only eat eucalyptus leaves and can only survive in Australia where there are eucalyptus trees. Pythons can eat practically anything and live in a variety of different areas, "" A USGS map showed a potential python habitat nothing from calltah to deleware "" This shows that pythons can live almost anywhere."
5052,3,2,1,"Koalas and pandas alike are specialist, they both rely on one food so once. For example pandas only eat bamboo and koalas only eat eucalyptus leaves. Both species are different then cobras because they are specialists and cobras are generalist so they can survive on multiple types of food."
5053,3,0,0,The panda and the koala bear are similar because they only eat one type of plants and they are both bears. They are different from pythons because they don't live in Florida and they aren't reptiles.
5054,3,1,1,"Pandas in China are similar to koalas in Australia because they are both specialists. They need a very specific habitat to survive. A python, however, is a generalist. It can live in many environments."
5055,3,2,1,"Panda's in China and Koalas in Australia differ from pythons in that pythons are ""generalist"" whereas Koalas and pandas are specialists this means that pythons can thrive in multiple habitats, which differs from the pandas and koala's that need specifics (such as bamboo for pandas) to survive."
5056,3,1,2,It says that China's panda and Australia's koala are specialists. This means that they can only eat and be in  certain places. In the article it says that china's panda eats almost nothing but bamboo and Australia's koala eats eucalyptus leaves. Unlike the python who is a generalist which can be compared to a human and live just about anywhere.
5060,3,0,1,"A specialist is China's panda, which eats almost nothing but bamboo, or Australia's koala bear, which eats eucalyptus leaves almost exclusively."
5061,3,1,0,"Pandas in China & koalas in Australia are similar because eat plants like bamboo but a python eats other mammals. According to the article, a python once swallowed an alligator. Therefore, pandas & koalas are best to have around humans because a python is a major threat."
5062,3,0,0,Pandas in China are similar to koalas in Australia because they're not a threat and they don't eat meat. These a animals are different from pythons because pythons are predators that constantly eat meat.
5063,3,1,1,"Pandas in China are similar to koala in Australia because they both eat natural green resources, such as bamboo and eucalyptus leaves They differ from pythons because of their different eating habits. Whereas, a python is most likely to eat other animals and are more dangerous."
5066,3,1,1,"Both the panda and the koala are specialists, they can only live off 1 thing, or are dependent on something. An animal such as a python which is a specialist, is able to thrive in different environments."
5067,3,0,0,"China pandas and Australia koala bears are both specialist. And they are different from pythons because pythons are generalist. The article state that a generalist is ""racoon, a python, a cockroach and a white tail deer."""
5068,3,1,1,Pandas in China are similar to koalas in Australia because the both eat the same foods daily. Koalas eat eucalyptus leaves and pandas eat almost nothing but bamboo. Pandas and koalas differ from pythons because a python is more of a generalist than a specialist like the pandas & koalas.
5069,3,2,2,"Pandas are both similar because on the article it talks about them being ""specialist"" and how they solely survive on one food sources. Panda has bamboo while koalas has eucalyptus. They are both different from pythons because a python is a generalist and can live in different warm environments and as the article said rat, mice, aligator and anything in between."
5070,3,1,1,"Well the obvious difference between pandas/ koalas and pythons is that the python is a generalist and a panda or koala are specialist. Bob Roy MacInnes, co-owner of Glads Help Farms, said "" A generalist is change... specialist is stability... Earth a rapidly changing place"" That is one of the difference between pythons and panda/koala."
5071,3,1,1,Panda in China are similar to koalas in Australia because of the food they eat. Bamboo for pandas and eucalyptus for koalas
5072,3,2,1,"The pandas in China are similar to the Koalas in Australia because they only eat one thing in specific, the pandas only eats bamboo s the koala eats eucalyptus this makes them different from the python because the pythons can eat almost anything. For example they can eat mices/rats/reptiles/birds and so on."
5073,3,0,1,"Pandas in China and koalas in Australia are both similar because they don't eat any type of meat, unlike pythons were they eat any type of meet like the article says ""A python swallowed an alligator""."
5074,3,1,1,Chinas pandas eat mostly only bamboo and koalas mostly eat eucalyptus leaves and a python can eat almost anything even an aligator then explode and pytons can go all over and eat anything and koalas and pandas cannot.
5076,3,1,1,"Pandas in China and koalas are different from pythons because as it states in the article, ""China's panda which eats almost nothing but bamboo, or Australia's koala bear which eats eucalyptus leaves almost exclusively"", whereas; pythons can eat animals such as alligators. Not only is what they at a difference, but pythons are generalists, and the panda and koala are specialists."
5078,3,2,1,Pandas in China are similar to koalas in Australia because they are both specialists. Pandas eat mostly only bamboo and koalas eat mostly only eucalyptus leaves. Both species would not respond well to change unlike pythons which are generalists. Pythons can respond well to change and can be seen in multiple locations.
5079,3,2,2,"Pandas in China as well as koalas in Australia, are specialists who have an incredibly slim range of food. They therefore have trouble adapting. Pythons on the other hand, are generalists and can easily adapt to foreign places, as they have in Florida and other places in the U.S."
5080,3,2,1,"The similarity between panda bears from China and koala bears from Australia is the two species eat mainly one or a few things. Panda's eat bamboo and koalas eat eucalyptus tree leaves. These animals differ from pythons because this harmful animal will eat anything that is meat, and can survive with the changes in its own diet."
5081,3,1,1,"as the author said, "" China's panda eats almost nothing but bamboo"" and just like the panda, the koala "" eats eucalyptus leaves almost exclusively ."" Where as the python can adapt and it does not rely on only one food source."
5083,3,1,2,"Pandas in China and Koalas in Australia are similar because they're both specialists species, not able to have anything else because of they're staple food source. Pandas mainly eat bamboo, while koalas mainly eat eucalyptus leaves. Both of these animals differ from a python because a python can live about anywhere it can find food and is a generalist species."
5084,3,1,1,Pandas in China and koalas in Australia need to live there. They need to stay there because of their change and food. Im not sure if bamboo or eucalyptus leaves are grown anywhere else. They wouldn't survive anywhere else unlike pythons.
5085,3,1,1,"Pandas in China are similar to koalas in Australia because they are both herbivores. They eat plants. The  panda and koala are different from pythons because pythons don't eat plants, they eat meat and other species."
5087,3,1,2,"There are similarities between China's panda and Australia's koala including the fact they are both ""specialists."" ""A specialist is  China's panda, which eats .... bear, which eats eucalyptus leaves almost exclusively."" Says the article. These two species are confined to their specific habitat while the python, a ""generalist"" can adapt to almost any location."
5089,3,1,1,"Pandas and koalas are similar because they both only eat one type of food, pandas eat bamboo and koalas eat eucalyptus leaves. They are different from pythons because pythons eat more than one type of food."
5091,3,1,1,"Pandas in China and Koalas in Australia are similar because they only eat one kind of food, "" China's panda eat almost nothing but bamboo, Australia's Koala bears...eat eucalyptus. They are different from pythons because would not take over a land. Also, pandas and Koalas are not deadly like a python that could kill its owners."
5092,3,0,0,China's panda eat almost nothing but bamboo and Australia's koala beer eats eucalyptus leave eucalyptus: alrre of genes.
5093,3,2,1,According to the article panda's in China are similar to koalas in Australia because they both are specialist. However they differ from a python because pythons can live anywhere meaning they can adapt to different environments. As the the pandas and koalas they cannot survive without certain sources.
5094,3,1,1,"In the article it states that the Chinese panda and the Australian koalas are both similar because the panda eats bamboo and the koala eats eucalyptus leaves, these are both similar. The pythons are different because it is a carnivore which only eats meat."
5095,3,1,1,"Pandas in China and Koalas in Australia are similar, but both are different from pythons. In the article it stated that mammals l ke these . (pandas and koalas) are ""specialist"" and can survive only in specific areas. On the other hand, pythons are generalist and can live in many different areas as shown in the map in the article , while , pandas and Koalas need specific living conditions, pythons do not."
5096,3,1,1,"Pandas in china are similar to koalas in Australia because they both eat only one food. They both are different from pythons because pandas and koalas don't eat meat, but pythons do."
5097,3,1,1,"Pandas and koalas are similar because they are both specialists. They both have essentially one type of food, bamboo and eucalyptus leaves respectively. They are different from pythons because pythons are generalists which can live anywhere, whereas specialists can only live in certain environments."
5099,3,0,0,"Pandas in China are similar to koalas in Australia because they are both specialists. They are different from pythons are generalists. According to the article, we live in an age that favors generalists rather than specialists. This is why there is a growing trend of keeping reptiles as pets."
5101,3,1,1,"Chinas panda and Australias koala bear are specialist which means they may not adapt to living in another environment that's not like theirs, unlike generalist they adapt quicker because they are from the wildlife. You dont see a Chinese panda, and an Australian koala bear in any type of environment you can just tell by the food they eat."
